unified_transaction_id,order_id,scenario_type,expected_rule_engine_outcome,expected_exception_type,expected_final_status,notes
UNI_TXN_1062_BNK_UTR_5062,ORD_1062,TIMING_DIFFERENCE,EXCEPTION,TIMING_DIFFERENCE,UNRESOLVED,Settlement delayed beyond the configured 3-day settlement window.
UNI_TXN_1063_BNK_UTR_5063,ORD_1063,TIMING_DIFFERENCE,EXCEPTION,TIMING_DIFFERENCE,UNRESOLVED,Settlement delayed beyond the configured 3-day settlement window.
UNI_TXN_1064_BNK_UTR_5064,ORD_1064,TIMING_DIFFERENCE,EXCEPTION,TIMING_DIFFERENCE,UNRESOLVED,Settlement delayed beyond the configured 3-day settlement window.
UNI_TXN_1065_BNK_UTR_5065,ORD_1065,TIMING_DIFFERENCE,EXCEPTION,TIMING_DIFFERENCE,UNRESOLVED,Settlement delayed beyond the configured 3-day settlement window.
UNI_TXN_1066_BNK_UTR_5066,ORD_1066,TIMING_DIFFERENCE,EXCEPTION,TIMING_DIFFERENCE,UNRESOLVED,Settlement delayed beyond the configured 3-day settlement window.
UNI_TXN_1067_BNK_UTR_5067,ORD_1067,TIMING_DIFFERENCE,EXCEPTION,TIMING_DIFFERENCE,UNRESOLVED,Settlement delayed beyond the configured 3-day settlement window.
UNI_TXN_1068_BNK_UTR_5068,ORD_1068,TIMING_DIFFERENCE,EXCEPTION,TIMING_DIFFERENCE,UNRESOLVED,Settlement delayed beyond the configured 3-day settlement window.
UNI_TXN_1069_BNK_UTR_5069,ORD_1069,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH,UNRESOLVED,Unexplained INR 150 deduction from the expected bank settlement.
UNI_TXN_1070_BNK_UTR_5070,ORD_1070,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH,UNRESOLVED,Unexplained INR 150 deduction from the expected bank settlement.
UNI_TXN_1071_BNK_UTR_5071,ORD_1071,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH,UNRESOLVED,Unexplained INR 150 deduction from the expected bank settlement.
UNI_TXN_1072_BNK_UTR_5072,ORD_1072,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH,UNRESOLVED,Unexplained INR 150 deduction from the expected bank settlement.
UNI_TXN_1073_BNK_UTR_5073,ORD_1073,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH,UNRESOLVED,Unexplained INR 150 deduction from the expected bank settlement.
UNI_TXN_1074_BNK_UTR_5074,ORD_1074,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH,UNRESOLVED,Unexplained INR 150 deduction from the expected bank settlement.
UNI_TXN_1075_BNK_UTR_5075,ORD_1075,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH,UNRESOLVED,Unexplained INR 150 deduction from the expected bank settlement.
UNI_TXN_1076_BNK_UTR_5076,ORD_1076,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH,UNRESOLVED,Unexplained INR 150 deduction from the expected bank settlement.
UNI_TXN_1077_pay_G1077,ORD_1077,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,"Ledger and gateway records exist, but bank settlement is missing."
UNI_TXN_1078_pay_G1078,ORD_1078,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,"Ledger and gateway records exist, but bank settlement is missing."
UNI_TXN_1079_pay_G1079,ORD_1079,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,"Ledger and gateway records exist, but bank settlement is missing."
UNI_TXN_1080_pay_G1080,ORD_1080,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,"Ledger and gateway records exist, but bank settlement is missing."
UNI_TXN_1081_pay_G1081,ORD_1081,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,"Ledger and gateway records exist, but bank settlement is missing."
UNI_TXN_1082_pay_G1082,ORD_1082,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,"Ledger and gateway records exist, but bank settlement is missing."
UNI_BANK_BNK_UTR_5083,,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,Bank settlement exists without a corresponding ledger transaction.
UNI_BANK_BNK_UTR_5084,,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,Bank settlement exists without a corresponding ledger transaction.
UNI_BANK_BNK_UTR_5085,,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,Bank settlement exists without a corresponding ledger transaction.
UNI_BANK_BNK_UTR_5086,,MISSING_RECORD,EXCEPTION,MISSING_RECORD,UNRESOLVED,Bank settlement exists without a corresponding ledger transaction.
UNI_TXN_1087_D0_BNK_UTR_5087,ORD_1087,DUPLICATE,MATCHED,,RECONCILED,Original ledger record in a duplicate pair.
UNI_TXN_1087_D1_BNK_UTR_5087,ORD_1087,DUPLICATE,EXCEPTION,DUPLICATE,UNRESOLVED,Duplicate ledger pair. First record is the original; second record is the duplicate detected by the batch rule.
UNI_TXN_1088_D0_BNK_UTR_5088,ORD_1088,DUPLICATE,MATCHED,,RECONCILED,Original ledger record in a duplicate pair.
UNI_TXN_1088_D1_BNK_UTR_5088,ORD_1088,DUPLICATE,EXCEPTION,DUPLICATE,UNRESOLVED,Duplicate ledger pair. First record is the original; second record is the duplicate detected by the batch rule.
UNI_TXN_1089_D0_BNK_UTR_5089,ORD_1089,DUPLICATE,MATCHED,,RECONCILED,Original ledger record in a duplicate pair.
UNI_TXN_1089_D1_BNK_UTR_5089,ORD_1089,DUPLICATE,EXCEPTION,DUPLICATE,UNRESOLVED,Duplicate ledger pair. First record is the original; second record is the duplicate detected by the batch rule.
UNI_TXN_1090_BNK_UTR_5090_0,ORD_1090,DUPLICATE,MATCHED,,RECONCILED,Original bank settlement in a duplicate pair.
UNI_TXN_1090_BNK_UTR_5090_1,ORD_1090,DUPLICATE,EXCEPTION,DUPLICATE,UNRESOLVED,Duplicate bank settlement pair. First record is the original; second is the duplicate.
UNI_TXN_1091_BNK_UTR_5091_0,ORD_1091,DUPLICATE,MATCHED,,RECONCILED,Original bank settlement in a duplicate pair.
UNI_TXN_1091_BNK_UTR_5091_1,ORD_1091,DUPLICATE,EXCEPTION,DUPLICATE,UNRESOLVED,Duplicate bank settlement pair. First record is the original; second is the duplicate.
UNI_TXN_1092_BNK_UTR_5092_0,ORD_1092,DUPLICATE,MATCHED,,RECONCILED,Original bank settlement in a duplicate pair.
UNI_TXN_1092_BNK_UTR_5092_1,ORD_1092,DUPLICATE,EXCEPTION,DUPLICATE,UNRESOLVED,Duplicate bank settlement pair. First record is the original; second is the duplicate.
UNI_TXN_1093_BNK_UTR_5093,ORD_1093,REFUND,EXCEPTION,REFUND,UNRESOLVED,Partial refund detected in gateway data.
UNI_TXN_1094_BNK_UTR_5094,ORD_1094,REFUND,EXCEPTION,REFUND,UNRESOLVED,Partial refund detected in gateway data.
UNI_TXN_1095_BNK_UTR_5095,ORD_1095,REFUND,EXCEPTION,REFUND,UNRESOLVED,Partial refund detected in gateway data.
UNI_TXN_1096_BNK_UTR_5096,ORD_1096,REFUND,EXCEPTION,REFUND,UNRESOLVED,Partial refund detected in gateway data.
UNI_TXN_1097_BNK_UTR_5097,ORD_1097,REFUND,EXCEPTION,REFUND,UNRESOLVED,Partial refund detected in gateway data.
UNI_TXN_1098_BNK_UTR_5098,ORD_1098,REFUND,EXCEPTION,REFUND,UNRESOLVED,Partial refund detected in gateway data.
UNI_TXN_1099_BNK_UTR_5099,ORD_1099,REFUND,EXCEPTION,REFUND,UNRESOLVED,Partial refund detected in gateway data.
UNI_TXN_1100_BNK_UTR_5100,ORD_1100,REFUND,EXCEPTION,REFUND,UNRESOLVED,Partial refund detected in gateway data.
UNI_TXN_1101_BNK_UTR_5101,ORD_1101,CHARGEBACK,EXCEPTION,CHARGEBACK,UNRESOLVED,Full chargeback detected with bank dispute fee.
UNI_TXN_1102_BNK_UTR_5102,ORD_1102,CHARGEBACK,EXCEPTION,CHARGEBACK,UNRESOLVED,Full chargeback detected with bank dispute fee.
UNI_TXN_1103_BNK_UTR_5103,ORD_1103,CHARGEBACK,EXCEPTION,CHARGEBACK,UNRESOLVED,Full chargeback detected with bank dispute fee.
UNI_TXN_1104_BNK_UTR_5104,ORD_1104,CHARGEBACK,EXCEPTION,CHARGEBACK,UNRESOLVED,Full chargeback detected with bank dispute fee.
UNI_TXN_1105_BNK_UTR_5105,ORD_1105,CHARGEBACK,EXCEPTION,CHARGEBACK,UNRESOLVED,Full chargeback detected with bank dispute fee.
UNI_TXN_1106,ORD_1106,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Ledger transaction has no matching gateway or bank settlement.
UNI_BANK_BNK_UTR_5106,,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Bank settlement has a corrupted gateway reference and no matching ledger record.
UNI_TXN_1107,ORD_1107,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Ledger transaction has no matching gateway or bank settlement.
UNI_BANK_BNK_UTR_5107,,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Bank settlement has a corrupted gateway reference and no matching ledger record.
UNI_TXN_1108,ORD_1108,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Ledger transaction has no matching gateway or bank settlement.
UNI_BANK_BNK_UTR_5108,,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Bank settlement has a corrupted gateway reference and no matching ledger record.
UNI_TXN_1109,ORD_1109,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Ledger transaction has no matching gateway or bank settlement.
UNI_BANK_BNK_UTR_5109,,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Bank settlement has a corrupted gateway reference and no matching ledger record.
UNI_TXN_1110,ORD_1110,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Ledger transaction has no matching gateway or bank settlement.
UNI_BANK_BNK_UTR_5110,,UNRESOLVED,EXCEPTION,MISSING_RECORD,UNRESOLVED,Bank settlement has a corrupted gateway reference and no matching ledger record.
